,x,y,z,disp_x,disp_y,disp_z,stress_xx,stress_yy,stress_zz
56,0.515625,0.015625,0.015625,0.0001498442587907754,8.447275937228178e-06,1.77584913970249e-05,-0.2536416321681994,-0.2204473029136225,-0.127972211557669
57,0.546875,0.015625,0.015625,0.0001589039480843464,8.438936626914065e-06,1.77369368127332e-05,-0.25364386871700084,-0.2204421280183214,-0.12796328337596624
58,0.578125,0.015625,0.015625,0.000167962638166158,8.430312187558188e-06,1.7714653350228225e-05,-0.2536463596199653,-0.22043674664584584,-0.1279537325925722
59,0.609375,0.015625,0.015625,0.0001770202528913583,8.421427368006643e-06,1.7691737340598724e-05,-0.25364912075058144,-0.22043117676156015,-0.1279435409735878
60,0.640625,0.015625,0.015625,0.00018607671393102793,8.412306620875212e-06,1.7668286890619487e-05,-0.2536521663572845,-0.22042543720847063,-0.12793269517069933
61,0.671875,0.015625,0.015625,0.00019513194139030672,8.402973958532917e-06,1.7644400448722185e-05,-0.2536555080340661,-0.22041954751034676,-0.12792118837170097
62,0.703125,0.015625,0.015625,0.00020418585462464344,8.393452791869605e-06,1.7620175505824806e-05,-0.25365915377973997,-0.22041352771110115,-0.1279090215086206
63,0.734375,0.015625,0.015625,0.00021323837323143069,8.3837657479922e-06,1.7595707515731996e-05,-0.25366310703541134,-0.2204073985777712,-0.12789620398503548
64,0.765625,0.015625,0.015625,0.00022228941823578354,8.373934449063686e-06,1.7571089094167836e-05,-0.2536673671273049,-0.22040118321725954,-0.1278827548768434
65,0.796875,0.015625,0.015625,0.00023133891320194433,8.363979411622406e-06,1.7546409009791606e-05,-0.25367193009424815,-0.22039490538828505,-0.12786870091674185
66,0.828125,0.015625,0.015625,0.0002403867848421109,8.35392004441158e-06,1.752175138190991e-05,-0.25367678953782236,-0.2203885864776546,-0.12785407273933738
67,0.859375,0.015625,0.015625,0.00024943296326958574,8.343774635380558e-06,1.7497195713309683e-05,-0.25368193342721074,-0.22038224398479866,-0.12783890318541025
68,0.890625,0.015625,0.015625,0.0002584773832718287,8.333560522190376e-06,1.7472817287679422e-05,-0.2536873490882513,-0.22037589964457555,-0.1278232505984173
69,0.921875,0.015625,0.015625,0.0002675199858840639,8.3232939728155e-06,1.7448683342102656e-05,-0.25369302548975914,-0.22036957860986117,-0.12780718428663534
70,0.953125,0.015625,0.015625,0.0002765607176108733,8.312989720629399e-06,1.742485118182647e-05,-0.25369895318831015,-0.2203633016379013,-0.12779075169551754
71,0.984375,0.015625,0.015625,0.00028559952838755066,8.302661048347371e-06,1.7401370942963525e-05,-0.2537051292668728,-0.22035708827799333,-0.1277739866741458
24,1.015625,0.015625,0.015625,0.00029463637035455456,8.29231988654913e-06,1.737828567276617e-05,-0.2537115561153286,-0.2203509597422443,-0.12775691819078527
25,1.046875,0.015625,0.015625,0.0003036711972162948,8.281976950224905e-06,1.735563092093549e-05,-0.25371824145468974,-0.22034494035928812,-0.1277395733139609
26,1.078125,0.015625,0.015625,0.00031270396340434177,8.271642310118248e-06,1.7333434222485095e-05,-0.25372519821450457,-0.22033905627905373,-0.12772197174102104
27,1.109375,0.015625,0.015625,0.00032173462286853226,8.261325753656877e-06,1.731171201772548e-05,-0.25373237381293806,-0.22033330577434032,-0.12770409501886867
28,1.140625,0.015625,0.015625,0.00033076314388798,8.251041623313638e-06,1.729049198738074e-05,-0.2537397304026545,-0.22032769345658257,-0.12768601008588168
29,1.171875,0.015625,0.015625,0.00033978949806498596,8.240799809720365e-06,1.7269780083100102e-05,-0.2537473148358532,-0.2203222603302816,-0.12766777507691804
30,1.203125,0.015625,0.015625,0.0003488136485862856,8.230605507287794e-06,1.7249552008170975e-05,-0.2537551430120719,-0.22031704492428195,-0.12764940388203933
31,1.234375,0.015625,0.015625,0.0003578355670024338,8.220469212911142e-06,1.7229768825105014e-05,-0.25376318748552507,-0.22031206799686537,-0.1276309617028133
72,1.2578125,0.0078125,0.0078125,0.00036460022522070127,4.339797489423705e-06,8.859439508363043e-06,-0.25377023245146885,-0.22030846345509056,-0.12761689165995446
73,1.2734375,0.0078125,0.0078125,0.00036910941837848226,4.334759943096178e-06,8.849502303814854e-06,-0.25377439747471775,-0.22030616217039642,-0.12760772248302119
74,1.2890625,0.0078125,0.0078125,0.00037361804782784155,4.3297467623758135e-06,8.839658825308596e-06,-0.2537785347305391,-0.22030391857727205,-0.12759861789260907
75,1.3046875,0.0078125,0.0078125,0.00037812611870147763,4.32475971995368e-06,8.829902166709591e-06,-0.25378264545361195,-0.22030173241061157,-0.12758959623871635
76,1.3203125,0.0078125,0.0078125,0.00038263363596031957,4.319800878780353e-06,8.820225446647535e-06,-0.25378681045635476,-0.22029961478651439,-0.127580684573912
77,1.3359375,0.0078125,0.0078125,0.00038714059257100557,4.314872850327221e-06,8.810623015510723e-06,-0.25379173506941766,-0.22029761749564608,-0.12757191605095028
78,1.3515625,0.0078125,0.0078125,0.0003916468702111957,4.309980441283952e-06,8.80109718813001e-06,-0.25380165193419624,-0.22029544647672314,-0.12756283653692924
79,1.3671875,0.0078125,0.0078125,0.00039615159805345,4.305136658034818e-06,8.791671908484019e-06,-0.25383523356376236,-0.22028722589091823,-0.12754721137343256
80,1.3828125,0.0078125,0.0078125,0.00040064995397710753,4.300371051867422e-06,8.782349036217568e-06,-0.2539516759309042,-0.2202275215903686,-0.12748069782333377
81,1.3984375,0.0078125,0.0078125,0.00040512093672463403,4.295687297923696e-06,8.772641188882876e-06,-0.2542752261542538,-0.21989085754685997,-0.12715089405224284
82,1.4140625,0.0078125,0.0078125,0.0004094920645155314,4.290752367744303e-06,8.759670667669351e-06,-0.2549263551636337,-0.218487341996591,-0.12582879625567012
83,1.4296875,0.0078125,0.0078125,0.0004135648241765503,4.283896935818797e-06,8.73360303694863e-06,-0.2557163314192397,-0.2140144698660422,-0.12169543922402679
84,1.4453125,0.0078125,0.0078125,0.0004169090002662694,4.270266062947026e-06,8.671430788503699e-06,-0.25566377560361303,-0.20284469523210488,-0.11151295518892305
85,1.4609375,0.0078125,0.0078125,0.0004187944439778124,4.24022637688427e-06,8.535219617985666e-06,-0.2528682664143941,-0.18062243889247848,-0.09150917626249086
86,1.4765625,0.0078125,0.0078125,0.00041827714171342625,4.180520020050999e-06,8.282937142299078e-06,-0.24536088126904199,-0.14498872417829922,-0.05989037736648499
87,1.4921875,0.0078125,0.0078125,0.00041449843433508283,4.079606171325948e-06,7.891082254607181e-06,-0.23259733991471657,-0.098552586187937,-0.019464711324493005
88,1.5078125,0.0078125,0.0078125,0.00040707862743054595,3.934547211654412e-06,7.373646005050411e-06,-0.21616911904920283,-0.04910757215309814,0.02236222713772629
89,1.5234375,0.0078125,0.0078125,0.00039634790704991686,3.753944110540313e-06,6.780061122518059e-06,-0.1988287687405097,-0.006007291162002614,0.057086292245647534
90,1.5390625,0.0078125,0.0078125,0.0003832386236559824,3.5541720334380663e-06,6.172385077403709e-06,-0.18274431614659417,0.02460838591415609,0.07948833967115039
91,1.5546875,0.0078125,0.0078125,0.0003689149799675151,3.352014072866639e-06,5.5998552098826956e-06,-0.16862487235900037,0.041958181743867444,0.08942699464615957
92,1.5703125,0.0078125,0.0078125,0.0003543901108994533,3.1591395521678826e-06,5.087434654173302e-06,-0.15615190239246585,0.04918569311770202,0.09029989381722672
93,1.5859375,0.0078125,0.0078125,0.00034032791306274,2.980949820466778e-06,4.639605083400735e-06,-0.1448314491407237,0.050471939780041615,0.08626159127096342
94,1.6015625,0.0078125,0.0078125,0.0003270494907232717,2.8184259044656538e-06,4.250177920121083e-06,-0.1344262378799418,0.04904268560901655,0.08038944971805745
95,1.6171875,0.0078125,0.0078125,0.00031464435008936596,2.6704795649527207e-06,3.910090429748367e-06,-0.12491211552474554,0.04669949713942187,0.07432074864556217
96,1.6328125,0.0078125,0.0078125,0.00030308534372382314,2.535465412424114e-06,3.6110515081043637e-06,-0.11630377045495313,0.04421444279703485,0.06868815728487573
97,1.6484375,0.0078125,0.0078125,0.0002923032007845839,2.411805419055337e-06,3.3464269661296054e-06,-0.10856727074189465,0.041841038407155424,0.06363546557641267
98,1.6640625,0.0078125,0.0078125,0.0002822220023808311,2.2981374577650278e-06,3.1110571395266726e-06,-0.10162279769026221,0.03963486650579712,0.05913233256651188
99,1.6796875,0.0078125,0.0078125,0.000272771736968938,2.1933052985021145e-06,2.900861594125655e-06,-0.0953741407395928,0.037593275422056684,0.05510811578706623
100,1.6953125,0.0078125,0.0078125,0.00026389100197638714,2.096322505314503e-06,2.7124914290314914e-06,-0.08972923982059006,0.03570152417259687,0.05149409377511263
101,1.7109375,0.0078125,0.0078125,0.0002555265147438391,2.006341974296194e-06,2.5431234254693914e-06,-0.08460795761268125,0.033944338040531805,0.048231819210472676
102,1.7265625,0.0078125,0.0078125,0.0002476319542067953,1.9226326824532988e-06,2.390326774543938e-06,-0.0799427085407812,0.03230803580084529,0.04527283726800817
103,1.7421875,0.0078125,0.0078125,0.00024016684657891568,1.8445601538541674e-06,2.2519679020651767e-06,-0.07567677099608855,0.0307806720626492,0.04257702937601544
32,1.765625,0.015625,0.015625,0.00022961276641497892,3.148885669557468e-06,3.977938282323333e-06,-0.06965745967249098,0.028647001212570578,0.03884213408678814
33,1.796875,0.015625,0.015625,0.00021694125685058392,2.901465043226286e-06,3.569761180828735e-06,-0.0628501850744878,0.026277537308460334,0.03486953062258578
34,1.828125,0.015625,0.015625,0.00020544779455373223,2.6834546531672314e-06,3.222850281521467e-06,-0.0571545179313956,0.024125820393155792,0.03143353248464689
35,1.859375,0.015625,0.015625,0.00019497032714976944,2.490255629683852e-06,2.924899590997939e-06,-0.05222900265104918,0.02221849761549656,0.02848536573917663
36,1.890625,0.015625,0.015625,0.00018537631786996704,2.3181140295170148e-06,2.6669607615155207e-06,-0.04793529949630615,0.02051948736790185,0.025932964132269167
37,1.921875,0.015625,0.015625,0.0001765563286538298,2.163942309180114e-06,2.4422564151922022e-06,-0.04416509129185945,0.01899868339165076,0.023704649648182217
38,1.953125,0.015625,0.015625,0.0001684191478688333,2.0251871765681285e-06,2.2454399790057425e-06,-0.040832770195715996,0.01763094411032594,0.02174424338387416
39,1.984375,0.015625,0.015625,0.00016088807673597975,1.8997243297353794e-06,2.0721379215313093e-06,-0.03786996340564877,0.016395262685985075,0.02000737859810322
16,2.03125,0.03125,0.03125,0.0001504774898871838,3.1928735622779763e-06,3.599361254856762e-06,-0.03388069877669305,0.014673715458271713,0.01762267501591258
17,2.09375,0.03125,0.03125,0.0001384439419398594,2.8280882466094813e-06,3.1197571706143145e-06,-0.029474669422059167,0.012930315668686958,0.015271932613981534
18,2.15625,0.03125,0.03125,0.00012789692803786252,2.521879079116991e-06,2.728952626039846e-06,-0.025948161022936185,0.011426217995635181,0.013312692890781434
19,2.21875,0.03125,0.03125,0.00011858094533934678,2.262255354464092e-06,2.405725806899319e-06,-0.02301638002459673,0.010152040262047113,0.011691785682669386
20,2.28125,0.03125,0.03125,0.00011029601862833178,2.0401273486661603e-06,2.1352931641792033e-06,-0.020552130209856995,0.009063701363021126,0.010334834146928496
21,2.34375,0.03125,0.03125,0.00010288351030194089,1.8484968090992777e-06,1.9069890107410239e-06,-0.018460433331939554,0.008126837524967446,0.00918639580132783
22,2.40625,0.03125,0.03125,9.62160166462912e-05,1.6819038369991654e-06,1.7128201956815007e-06,-0.016669278084180162,0.007314390651778127,0.008204637167198419
23,2.46875,0.03125,0.03125,9.019006599844499e-05,1.5360346169113524e-06,1.5465682645909501e-06,-0.015123247688275897,0.006604873600954932,0.007357625461288656
12,2.5625,0.0625,0.0625,8.206369808465557e-05,2.5037319826827793e-06,2.60866842083578e-06,-0.013141026813903382,0.005624612832594377,0.006200936592554232
13,2.6875,0.0625,0.0625,7.305084932836588e-05,2.1181723623793583e-06,2.1788767759680762e-06,-0.011007446062579557,0.004720261748164169,0.005147865260455372
14,2.8125,0.0625,0.0625,6.543526455469673e-05,1.8101697679206625e-06,1.8432199524131888e-06,-0.009379862103965877,0.003977221624868148,0.0042999666233818935
15,2.9375,0.0625,0.0625,5.89282081635553e-05,1.5604164398685945e-06,1.5756916162685354e-06,-0.008082898140260236,0.0033748351158062635,0.003622362562742122
8,3.125,0.125,0.125,5.062501145334001e-05,2.392721651102107e-06,2.458296968549315e-06,-0.0066083022521093064,0.0025596538379466316,0.00272221166835916
9,3.375,0.125,0.125,4.219828433825205e-05,1.8500411501636267e-06,1.881560347367479e-06,-0.0051207283614360674,0.001953834760830652,0.0020596262752568006
10,3.625,0.125,0.125,3.556604318604882e-05,1.4591358857302063e-06,1.4721131743265723e-06,-0.004108008849184903,0.001496660334575939,0.0015681633410270072
11,3.875,0.125,0.125,3.0228151119523985e-05,1.1699193245749518e-06,1.1726703317039302e-06,-0.0033731073880957736,0.001155798982284695,0.0012056730573418318
0,4.25,0.25,0.25,2.3782861268490558e-05,1.6464874120124814e-06,1.6654454944502724e-06,-0.002639212476059602,0.0007092523428106223,0.0007372102576216248
1,4.75,0.25,0.25,1.7727049179528886e-05,1.1432629125998224e-06,1.1494371352334674e-06,-0.0019541713604413168,0.000445554453664624,0.00046177138536707954
2,5.25,0.25,0.25,1.318110359158185e-05,8.150782031818741e-07,8.162686364645213e-07,-0.0015443020301642784,0.0002567719251473484,0.0002667017540321354
3,5.75,0.25,0.25,9.625410446585443e-06,5.891195015681473e-07,5.886392743265057e-07,-0.001276369077333251,0.00012025059651503926,0.00012657367495984002
4,6.25,0.25,0.25,6.750549502173686e-06,4.233917305848421e-07,4.226511247441525e-07,-0.0010939987494871521,1.353041313738124e-05,1.7636059148565283e-05
5,6.75,0.25,0.25,4.371369060047652e-06,2.915985919993841e-07,2.911310516906555e-07,-0.0009635299281687023,-7.850642939651784e-05,-7.588393234820605e-05
6,7.25,0.25,0.25,2.3828694086247085e-06,1.7533438015936425e-07,1.7521926762905692e-07,-0.0008628148027047293,-0.00016731459570362467,-0.00016581106904389408
7,7.75,0.25,0.25,7.386209491882537e-07,5.955198170364225e-08,5.9571713690417704e-08,-0.0008264074144374041,-0.0002850740330231565,-0.000284574097965784
